id,sales
3000888,-1.7580993
3000889,-1.7580993
3000890,-1.7580993
3000891,-1.7580993
3000892,-1.7580993
3000893,-1.7580993
3000894,-1.7580993
3000895,-1.7580993
3000896,-1.7580993
3000897,-1.7580993
3000898,-1.7580993
3000899,-1.7580993
3000900,-1.7580993
3000901,-1.7580993
3000902,-1.7580993
3000903,-1.7580993
3000904,-1.7580993
3000905,-1.7580993
3000906,-1.7580993
3000907,-1.7580993
3000908,2421.246
3000909,3412.009
3000910,5299.7007
3000911,6282.2827
3000912,7779.7617
3000913,10676.983
3000914,10743.025
3000915,12222.866
3000916,13546.873
3000917,14540.873
3000918,19660.29
3000919,18029.623
3000920,16868.318
3000921,-1.7580993
3000922,-1.7580993
3000923,-1.7580993
3000924,-1.7580993
3000925,-1.7580993
3000926,-1.7580993
3000927,-1.7580993
3000928,-1.7580993
3000929,-1.7580993
3000930,-1.7580993
3000931,-1.7580993
3000932,-1.7580993
3000933,1828.8281
3000934,405.45303
3000935,44.1735
3000936,-1.7580993
3000937,-1.7580993
3000938,541.2623
3000939,3087.2212
3000940,3426.5432
3000941,6211.3667
3000942,6685.0024
3000943,8636.766
3000944,8276.186
3000945,9063.111
3000946,12641.499
3000947,9946.985
3000948,9895.898
3000949,9906.327
3000950,9134.632
3000951,9841.315
3000952,9323.108
3000953,5616.5864
3000954,-1.7580993
3000955,-1.7580993
3000956,-1.7580993
3000957,-1.7580993
3000958,-1.7580993
3000959,-1.7580993
3000960,-1.7580993
3000961,-1.7580993
3000962,-1.7580993
3000963,-1.7580993
3000964,-1.7580993
3000965,-1.7580993
3000966,-1.7580993
3000967,-1.7580993
3000968,-1.7580993
3000969,-1.7580993
3000970,-1.7580993
3000971,-1.7580993
3000972,-1.7580993
3000973,-1.7580993
3000974,772.05896
3000975,1328.3671
3000976,3574.741
3000977,2460.3438
3000978,3563.1975
3000979,8965.47
3000980,5768.9253
3000981,7806.141
3000982,7903.995
3000983,8716.437
3000984,20757.127
3000985,14913.37
3000986,10368.519
3000987,-1.7580993
3000988,-1.7580993
3000989,-1.7580993
3000990,-1.7580993
3000991,-1.7580993
3000992,-1.7580993
3000993,-1.7580993
3000994,-1.7580993
3000995,-1.7580993
3000996,-1.7580993
3000997,-1.7580993
3000998,-1.7580993
3000999,2671.1794
3001000,-1.7580993
3001001,-1.7580993
3001002,-1.7580993
3001003,725.41
3001004,54.550713
3001005,4428.745
3001006,2159.2888
3001007,7123.211
3001008,6499.5903
3001009,7970.347
3001010,5852.788
3001011,5767.5376
3001012,8644.472
3001013,6128.975
3001014,5840.413
3001015,5031.671
3001016,4206.1743
3001017,6755.671
3001018,3612.7915
3001019,1754.852
3001020,-1.7580993
3001021,-1.7580993
3001022,-1.7580993
3001023,-1.7580993
3001024,-1.7580993
3001025,-1.7580993
3001026,-1.7580993
3001027,-1.7580993
3001028,-1.7580993
3001029,-1.7580993
3001030,-1.7580993
3001031,-1.7580993
3001032,2605.97
3001033,-1.7580993
3001034,-1.7580993
3001035,-1.7580993
3001036,841.04095
3001037,358.52805
3001038,4409.627
3001039,2463.2764
3001040,7064.548
3001041,5794.8716
3001042,7642.4297
3001043,5270.038
3001044,5475.715
3001045,8287.569
3001046,5683.1123
3001047,4865.988
3001048,4048.8672
3001049,3231.7434
3001050,5072.9424
3001051,2212.5737
3001052,780.49927
3001053,-1.7580993
3001054,-1.7580993
3001055,-1.7580993
3001056,-1.7580993
3001057,-1.7580993
3001058,-1.7580993
3001059,-1.7580993
3001060,-1.7580993
3001061,-1.7580993
3001062,-1.7580993
3001063,-1.7580993
3001064,-1.7580993
3001065,2270.7803
3001066,544.4724
3001067,-1.7580993
3001068,-1.7580993
3001069,467.05603
3001070,885.7332
3001071,4035.193
3001072,3039.078
3001073,6798.3784
3001074,6115.012
3001075,7725.3794
3001076,6425.579
3001077,6027.8403
3001078,8442.672
3001079,6521.468
3001080,5762.4136
3001081,4942.236
3001082,4122.052
3001083,5724.93
3001084,3443.2183
3001085,1670.2677
3001086,-1.7580993
3001087,-1.7580993
3001088,-1.7580993
3001089,-1.7580993
3001090,-1.7580993
3001091,-1.7580993
3001092,-1.7580993
3001093,-1.7580993
3001094,-1.7580993
3001095,-1.7580993
3001096,-1.7580993
3001097,-1.7580993
3001098,2181.2656
3001099,177.79825
3001100,-1.7580993
3001101,-1.7580993
3001102,390.0055
3001103,812.5825
3001104,4092.1165
3001105,2867.0994
3001106,6639.1006
3001107,5912.2544
3001108,6944.0654
3001109,5969.625
3001110,6004.4863
3001111,7466.82
3001112,5432.1255
3001113,4616.3794
3001114,3801.2385
3001115,2984.8535
3001116,5121.917
3001117,1912.948
3001118,533.5263
3001119,-1.7580993
3001120,-1.7580993
3001121,-1.7580993
3001122,-1.7580993
3001123,-1.7580993
3001124,-1.7580993
3001125,-1.7580993
3001126,-1.7580993
3001127,-1.7580993
3001128,-1.7580993
3001129,-1.7580993
3001130,-1.7580993
3001131,-1.7580993
3001132,-1.7580993
3001133,-1.7580993
3001134,-1.7580993
3001135,-1.7580993
3001136,-1.7580993
3001137,936.7543
3001138,1484.975
3001139,4165.525
3001140,4843.201
3001141,6631.03
3001142,6833.991
3001143,7809.037
3001144,11328.62
3001145,8958.545
3001146,9165.416
3001147,8872.223
3001148,8929.373
3001149,9761.119
3001150,9145.951
3001151,6074.707
3001152,-1.7580993
3001153,-1.7580993
3001154,-1.7580993
3001155,-1.7580993
3001156,-1.7580993
3001157,-1.7580993
3001158,-1.7580993
3001159,-1.7580993
3001160,-1.7580993
3001161,-1.7580993
3001162,-1.7580993
3001163,-1.7580993
3001164,1239.6691
3001165,167.32715
3001166,-1.7580993
3001167,-1.7580993
3001168,349.20618
3001169,785.1014
3001170,4186.1616
3001171,3132.2805
3001172,6611.5737
3001173,6045.7803
3001174,7262.5327
3001175,6589.1543
3001176,6720.914
3001177,7211.423
3001178,5207.3584
3001179,4383.08
3001180,3558.799
3001181,2734.5122
3001182,4969.678
3001183,1621.8418
3001184,354.23785
3001185,-1.7580993
3001186,-1.7580993
3001187,-1.7580993
3001188,-1.7580993
3001189,-1.7580993
3001190,-1.7580993
3001191,-1.7580993
3001192,-1.7580993
3001193,-1.7580993
3001194,-1.7580993
3001195,-1.7580993
3001196,-1.7580993
3001197,1269.4976
3001198,129.37366
3001199,-1.7580993
3001200,-1.7580993
3001201,1321.9583
3001202,1742.6478
3001203,5158.5337
3001204,4116.4883
3001205,6853.451
3001206,5482.5684
3001207,5558.0254
3001208,4734.0
3001209,3909.7275
3001210,5767.8633
3001211,2261.4785
3001212,1515.0824
3001213,786.03455
3001214,69.32561
3001215,2949.0713
3001216,69.059746
3001217,69.059746
3001218,-1.7580993
3001219,-1.7580993
3001220,-1.7580993
3001221,-1.7580993
3001222,-1.7580993
3001223,-1.7580993
3001224,-1.7580993
3001225,-1.7580993
3001226,-1.7580993
3001227,-1.7580993
3001228,-1.7580993
3001229,-1.7580993
3001230,1860.6111
3001231,-1.7580993
3001232,-1.7580993
3001233,-1.7580993
3001234,1490.8169
3001235,1042.8125
3001236,4805.134
3001237,3183.3667
3001238,4482.2163
3001239,4167.8584
3001240,3528.8708
3001241,2623.1492
3001242,1742.2706
3001243,917.696
3001244,10.503737
3001245,-1.7580993
3001246,-1.7580993
3001247,-1.7580993
3001248,-1.7580993
3001249,108.52782
3001250,-1.7580993
3001251,-1.7580993
3001252,-1.7580993
3001253,-1.7580993
3001254,-1.7580993
3001255,-1.7580993
3001256,-1.7580993
3001257,-1.7580993
3001258,-1.7580993
3001259,-1.7580993
3001260,-1.7580993
3001261,-1.7580993
3001262,-1.7580993
3001263,-1.7580993
3001264,-1.7580993
3001265,-1.7580993
3001266,-1.7580993
3001267,-1.7580993
3001268,-1.7580993
3001269,-1.7580993
3001270,-1.6791813
3001271,2780.1548
3001272,3832.1477
3001273,5716.065
3001274,6567.0874
3001275,8158.7783
3001276,11095.965
3001277,11015.833
3001278,12448.519
3001279,13593.875
3001280,14530.642
3001281,19185.137
3001282,17718.004
3001283,16271.779
3001284,-1.7580993
3001285,-1.7580993
3001286,-1.7580993
